lpg household;lpg household name;number of residents;householdtype;senior status;senior status float;working status;non-working status;gender;female status;male status
CHR01_Couple_both_at_Work;CHR01 Couple both at Work;2;couple without kids;non_seniors;0;1;0;"[""female"", ""male""]";0.5;0.5
CHR02_Couple_30_64_age_with_work;CHR02 Couple, 30 - 64 age, with work;2;couple without kids;non_seniors;0;1;0;"[""female"", ""male""]";0.5;0.5
CHR03_Family_1_child_both_at_work;CHR03 Family, 1 child, both at work;3;couple with kids;non_seniors;0;0.67;0.33;"[""female"", ""male"", ""male""]";0.333333333;0.666666667
CHR04_Couple_30_64_years_1_at_work_1_at_home;CHR04 Couple, 30 - 64 years, 1 at work, 1 at home;2;couple without kids;non_seniors;0;0.5;0.5;"[""female"", ""male""]";0.5;0.5
CHR05_Family_3_children_both_with_work;CHR05 Family, 3 children, both with work;5;couple with kids;non_seniors;0;0.4;0.60;"[""female"", ""female"", ""male"", ""male"", ""male""]";0.4;0.6
CHR06_Jak_Jobless;CHR06 Jak Jobless;1;single;non_seniors;0;0;1;"[""male""]";0;1
CHR07_Single_with_work;CHR07 Single with work;1;single;non_seniors;0;1;0;"[""male""]";0;1
CHR08_Single_woman_2_children_with_work;CHR08 Single woman, 2 children, with work;3;single woman and kids;non_seniors;0;0.33;0.67;"[""female"", ""male"", ""male""]";0.333333333;0.666666667
CHR09_Single_woman_30_64_years_with_work;CHR09 Single woman, 30 - 64 years, with work;1;single;non_seniors;0;1;0;"[""female""]";1;0
CHR10_Single_man_30_64_age_shift_worker;CHR10 Single man, 30 - 64 age, shift worker;1;single;non_seniors;0;1;0;"[""male""]";0;1
CHR11_Student_Female_Philosophy;CHR11 Student, Female, Philosophy;1;single;non_seniors;0;0;1;"[""female""]";1;0
CHR12_Student_2_Male_Philosophy;CHR12 Student 2, Male, Philosophy;1;single;non_seniors;0;0;1;"[""male""]";0;1
CHR13_Student_with_Work;CHR13 Student with Work;1;single;non_seniors;0;1;0;"[""female""]";1;0
CHR14_3_adults_Couple_30_64_years_both_at_work_Senior_at_home;CHR14 3 adults: Couple, 30- 64 years, both at work + Senior at home;3;multiple people (no family);seniors_and_non_seniors;0.333333333;0.67;0.33;"[""female"", ""female"", ""male""]";0.666666667;0.333333333
