name,description,type
31001_1000,Wohngebäude,residential
31001_1010,Wohnhaus,residential
31001_1020,Wohnheim,residential
31001_1021,Kinderheim,residential
31001_1022,Seniorenheim,residential
31001_1023,Schwesternwohnheim,residential
31001_1024,"Studenten-, Schülerwohnheim",residential
31001_1025,Schullandheim,non-residential
31001_1100,Gemischt genutztes Gebäude mit Wohnen,mixed
31001_1110,Wohngebäude mit Gemeinbedarf,mixed
31001_1120,Wohngebäude mit Handel und Dienstleistungen,mixed
31001_1121,Wohn- und Verwaltungsgebäude,mixed
31001_1122,Wohn- und Bürogebäude,mixed
31001_1123,Wohn- und Geschäftsgebäude,mixed
31001_1130,Wohngebäude mit Gewerbe und Industrie,mixed
31001_1131,Wohn- und Betriebsgebäude,mixed
31001_1210,Land- und forstwirtschaftliches Wohngebäude,residential
31001_1220,Land- und forstwirtschaftliches Wohn- und Betriebsgebäude,mixed
31001_1221,Bauernhaus,mixed
31001_1222,Wohn- und Wirtschaftsgebäude,mixed
31001_1223,Forsthaus,mixed
31001_1310,Gebäude zur Freizeitgestaltung,non-residential
31001_1311,Ferienhaus,residential
31001_1312,Wochenendhaus,residential
31001_1313,Gartenhaus,non-residential
31001_2000,Gebäude für Wirtschaft oder Gewerbe,non-residential
31001_2010,Gebäude für Handel und Dienstleistungen,non-residential
31001_2020,Bürogebäude,non-residential
31001_2030,Kreditinstitut,non-residential
31001_2040,Versicherung,non-residential
31001_2050,Geschäftsgebäude,non-residential
31001_2051,Kaufhaus,non-residential
31001_2052,Einkaufszentrum,non-residential
31001_2053,Markthalle,non-residential
31001_2054,Laden,non-residential
31001_2055,Kiosk,non-residential
31001_2056,Apotheke,non-residential
31001_2060,Messehalle,non-residential
31001_2070,Gebäude für Beherbergung,non-residential
31001_2071,"Hotel, Motel, Pension",non-residential
31001_2072,Jugendherberge,non-residential
31001_2073,Hütte (mit Übernachtungsmöglichkeit),non-residential
31001_2074,Campingplatzgebäude,non-residential
31001_2080,Gebäude für Bewirtung,non-residential
31001_2081,"Gaststätte, Restaurant",non-residential
31001_2082,Hütte (ohne Übernachtungsmöglichkeit),non-residential
31001_2083,Kantine,non-residential
31001_2090,Freizeit- und Vergnügungsstätte,non-residential
31001_2091,Festsaal,non-residential
31001_2092,Kino,non-residential
31001_2093,"Kegel-, Bowlinghalle",non-residential
31001_2094,Spielkasino,non-residential
31001_2100,Gebäude für Gewerbe und Industrie,non-residential
31001_2110,Produktionsgebäude,non-residential
31001_2111,Fabrik,non-residential
31001_2112,Betriebsgebäude,non-residential
31001_2113,Brauerei,non-residential
31001_2114,Brennerei,non-residential
31001_2120,Werkstatt,non-residential
31001_2121,Sägewerk,non-residential
31001_2130,Tankstelle,non-residential
31001_2131,"Waschstraße, Waschanlage, Waschhalle",non-residential
31001_2140,Gebäude für Vorratshaltung,non-residential
31001_2141,Kühlhaus,non-residential
31001_2142,Speichergebäude,non-residential
31001_2143,"Lagerhalle, Lagerschuppen, Lagerhaus",non-residential
31001_2150,Speditionsgebäude,non-residential
31001_2160,Gebäude für Forschungszwecke,non-residential
31001_2170,Gebäude für Grundstoffgewinnung,non-residential
31001_2171,Bergwerk,non-residential
31001_2172,Saline,non-residential
31001_2180,Gebäude für betriebliche Sozialeinrichtung,non-residential
31001_2200,Sonstiges Gebäude für Gewerbe und Industrie,non-residential
31001_2210,Mühle,non-residential
31001_2211,Windmühle,non-residential
31001_2212,Wassermühle,non-residential
31001_2213,Schöpfwerk,non-residential
31001_2220,Wetterstation,non-residential
31001_2310,Gebäude für Handel und Dienstleistung mit Wohnen,mixed
31001_2320,Gebäude für Gewerbe und Industrie mit Wohnen,mixed
31001_2400,Betriebsgebäude zu Verkehrsanlagen (allgemein),non-residential
31001_2410,Betriebsgebäude für Straßenverkehr,non-residential
31001_2411,Straßenmeisterei,non-residential
31001_2412,Wartehalle,non-residential
31001_2420,Betriebsgebäude für Schienenverkehr,non-residential
31001_2421,Bahnwärterhaus,non-residential
31001_2422,"Lokschuppen, Wagenhalle",non-residential
31001_2423,"Stellwerk, Blockstelle",non-residential
31001_2424,Betriebsgebäude des Güterbahnhofs,non-residential
31001_2430,Betriebsgebäude für Flugverkehr,non-residential
31001_2431,Flugzeughalle,non-residential
31001_2440,Betriebsgebäude für Schiffsverkehr,non-residential
31001_2441,Werft (Halle),non-residential
31001_2442,Dock (Halle),non-residential
31001_2443,Betriebsgebäude zur Schleuse,non-residential
31001_2444,Bootshaus,non-residential
31001_2450,Betriebsgebäude zur Seilbahn,non-residential
31001_2451,Spannwerk zur Drahtseilbahn,non-residential
31001_2460,Gebäude zum Parken,non-residential
31001_2461,Parkhaus,non-residential
31001_2462,Parkdeck,non-residential
31001_2463,Garage,non-residential
31001_2464,Fahrzeughalle,non-residential
31001_2500,Gebäude zur Versorgung,non-residential
31001_2501,Gebäude zur Energieversorgung,non-residential
31001_2510,Gebäude zur Wasserversorgung,non-residential
31001_2511,Wasserwerk,non-residential
31001_2512,Pumpstation,non-residential
31001_2513,Wasserbehälter,non-residential
31001_2520,Gebäude zur Elektrizitätsversorgung,non-residential
31001_2521,Elektrizitätswerk,non-residential
31001_2522,Umspannwerk,non-residential
31001_2523,Umformer,non-residential
31001_2527,Reaktorgebäude,non-residential
31001_2528,Turbinenhaus,non-residential
31001_2529,Kesselhaus,non-residential
31001_2540,Gebäude für Fernmeldewesen,non-residential
31001_2560,Gebäude an unterirdischen Leitungen,non-residential
31001_2570,Gebäude zur Gasversorgung,non-residential
31001_2571,Gaswerk,non-residential
31001_2580,Heizwerk,non-residential
31001_2590,Gebäude zur Versorgungsanlage,non-residential
31001_2591,Pumpwerk (nicht für Wasserversorgung),non-residential
31001_2600,Gebäude zur Entsorgung,non-residential
31001_2610,Gebäude zur Abwasserbeseitigung,non-residential
31001_2611,Gebäude der Kläranlage,non-residential
31001_2612,Toilette,non-residential
31001_2620,Gebäude zur Abfallbehandlung,non-residential
31001_2621,Müllbunker,non-residential
31001_2622,Gebäude zur Müllverbrennung,non-residential
31001_2623,Gebäude der Abfalldeponie,non-residential
31001_2700,Gebäude für Land- und Forstwirtschaft,non-residential
31001_2720,Land- und forstwirtschaftliches Betriebsgebäude,non-residential
31001_2721,Scheune,non-residential
31001_2723,Schuppen,non-residential
31001_2724,Stall,non-residential
31001_2726,Scheune und Stall,non-residential
31001_2727,Stall für Tiergroßhaltung,non-residential
31001_2728,Reithalle,non-residential
31001_2729,Wirtschaftsgebäude,non-residential
31001_2732,Almhütte,non-residential
31001_2735,"Jagdhaus, Jagdhütte",non-residential
31001_2740,"Treibhaus, Gewächshaus",non-residential
31001_2741,Treibhaus,non-residential
31001_2742,"Gewächshaus, verschiebbar",non-residential
31001_3000,Gebäude für öffentliche Zwecke,non-residential
31001_3010,Verwaltungsgebäude,non-residential
